timestamp_ms,main_memory_bytes,secondary_memory_bytes,cache_hits,cache_misses,hit_rate
5,135,0,9,615,1.44231
6,135,0,9,1066,0.837209
6,135,0,16,1092,1.44404
7,135,0,18,1194,1.48515
7,135,0,18,1230,1.44231
7,135,0,18,1230,1.44231
7,135,0,18,1230,1.44231
7,135,0,18,1230,1.44231
7,135,0,18,1230,1.44231
7,135,0,18,1230,1.44231
7,135,0,18,1230,1.44231
7,135,0,18,1230,1.44231
7,135,0,18,1230,1.44231
8,135,0,18,1230,1.44231
8,135,0,18,1230,1.44231
8,135,0,18,1230,1.44231
8,135,0,18,1230,1.44231
8,135,0,18,1230,1.44231
8,135,0,18,1230,1.44231
8,135,0,18,1230,1.44231
8,135,0,18,1230,1.44231
8,135,0,18,1230,1.44231
8,135,0,18,1230,1.44231
8,135,0,18,1230,1.44231
9,135,0,18,1230,1.44231
